timestamp,open,high,low,close,volume
2017-07-28,72.6700,73.3100,72.5400,73.0400,17472880
2017-07-27,73.7600,74.4200,72.3200,73.1600,35518251
2017-07-26,74.3400,74.3800,73.8100,74.0500,15850344
2017-07-25,73.8000,74.3100,73.5000,74.1900,22018681
2017-07-24,73.5300,73.7500,73.1300,73.6000,20836422
2017-07-21,73.4500,74.2900,73.1700,73.7900,45302930
2017-07-20,74.1800,74.3000,73.2800,74.2400,34174677
2017-07-19,73.5000,74.0400,73.4500,73.8600,21769229
2017-07-18,73.0900,73.3900,72.6600,73.3000,26435296
2017-07-17,72.8000,73.4500,72.7200,73.3500,21481069
2017-07-14,72.2400,73.2700,71.9600,72.7800,25689303
2017-07-13,71.5000,72.0399,71.3100,71.7700,20149208
2017-07-12,70.6900,71.2800,70.5500,71.1500,17747461
2017-07-11,70.0000,70.6800,69.7500,69.9900,16880205
2017-07-10,69.4600,70.2500,69.2000,69.9800,14903400
2017-07-07,68.7000,69.8400,68.7000,69.4600,15897154
2017-07-06,68.2700,68.7800,68.1200,68.5700,20909161
2017-07-05,68.2550,69.4400,68.2200,69.0800,21176272
2017-07-03,69.3300,69.6000,68.0200,68.1700,16164331
2017-06-30,68.7800,69.3800,68.7400,68.9300,23039328
2017-06-29,69.3800,69.4900,68.0900,68.4900,28231562
2017-06-28,69.2100,69.8410,68.7900,69.8000,25226070
2017-06-27,70.1100,70.1800,69.1800,69.2100,24862560
2017-06-26,71.4000,71.7100,70.4400,70.5300,19308122
2017-06-23,70.0900,71.2500,69.9200,71.2100,23176418
2017-06-22,70.5400,70.5900,69.7100,70.2600,22222851
2017-06-21,70.2100,70.6200,69.9400,70.2700,19190623
2017-06-20,70.8200,70.8700,69.8700,69.9100,20775590
2017-06-19,70.5000,70.9400,70.3500,70.8700,23146852
2017-06-16,69.7300,70.0300,69.2200,70.0000,46911637
2017-06-15,69.2700,70.2100,68.8000,69.9000,25701569
2017-06-14,70.9100,71.1000,69.4300,70.2700,25271276
2017-06-13,70.0200,70.8200,69.9600,70.6500,24815455
2017-06-12,69.2500,69.9400,68.1300,69.7800,47363986
2017-06-09,72.0350,72.0800,68.5900,70.3200,48619420
2017-06-08,72.5100,72.5200,71.5000,71.9500,23982410
2017-06-07,72.6350,72.7700,71.9500,72.3900,21895156
2017-06-06,72.3000,72.6200,72.2700,72.5200,31220057
2017-06-05,71.9700,72.8900,71.8100,72.2800,29507429
2017-06-02,70.4400,71.8600,70.2400,71.7600,34586054
2017-06-01,70.2400,70.6100,69.4510,70.1000,21066468
2017-05-31,70.5300,70.7400,69.8100,69.8400,29538356
2017-05-30,69.7900,70.4100,69.7700,70.4100,16901792
2017-05-26,69.8000,70.2200,69.5200,69.9600,19644260
2017-05-25,68.9700,69.8800,68.9100,69.6200,21702912
2017-05-24,68.8700,68.8800,68.4500,68.7700,14422965
2017-05-23,68.7200,68.7500,68.3800,68.6800,15347877
2017-05-22,67.8900,68.5000,67.5000,68.4500,15484530
2017-05-19,67.5000,68.0950,67.4300,67.6900,26496478
2017-05-18,67.4000,68.1300,67.1400,67.7100,24789790
2017-05-17,68.8900,69.1000,67.4300,67.4800,29964198
2017-05-16,68.2300,69.4400,68.1600,69.4100,33250702
2017-05-15,68.1400,68.4800,67.5700,68.4300,30705323
2017-05-12,68.6100,68.6100,68.0400,68.3800,17073013
2017-05-11,68.3600,68.7300,68.1200,68.4600,27985424
2017-05-10,68.9900,69.5600,68.9200,69.3100,17842038
2017-05-09,68.8600,69.2800,68.6800,69.0400,22318181
2017-05-08,68.9700,69.0500,68.4200,68.9400,18446053
2017-05-05,68.9000,69.0300,68.4850,69.0000,18882845
2017-05-04,69.0300,69.0800,68.6400,68.8100,21421413
2017-05-03,69.3800,69.3800,68.7100,69.0800,28725646
2017-05-02,69.7100,69.7100,69.1300,69.3000,23000828
2017-05-01,68.6800,69.5500,68.5000,69.4100,31304672
2017-04-28,68.9100,69.1400,67.6900,68.4600,38940853
2017-04-27,68.1500,68.3800,67.5800,68.2700,32219234
2017-04-26,68.0800,68.3100,67.6200,67.8300,25544417
2017-04-25,67.9000,68.0400,67.6000,67.9200,29983174
2017-04-24,67.4800,67.6600,67.1000,67.5300,29721254
2017-04-21,65.6700,66.7000,65.4500,66.4000,32522645
2017-04-20,65.4600,65.7500,65.1400,65.5000,22299477
2017-04-19,65.6500,65.7500,64.8900,65.0400,26992771
2017-04-18,65.3300,65.7100,65.1600,65.3900,15155611
