timestamp,open,high,low,close,volume
2017-07-28,13.8450,14.1000,13.6800,13.9500,66763754
2017-07-27,14.9900,15.0400,13.7000,14.1200,130303657
2017-07-26,15.1300,15.6500,14.4000,14.7600,236082958
2017-07-25,14.2895,14.3200,13.8700,14.1100,98047389
2017-07-24,14.0000,14.4400,13.9700,14.1600,71014864
2017-07-21,13.7000,14.0500,13.6200,13.8800,50836269
2017-07-20,13.6100,13.8900,13.4500,13.8000,47707464
2017-07-19,13.6200,13.7400,13.4100,13.5500,51957812
2017-07-18,13.2900,13.5300,13.1500,13.4800,78366510
2017-07-17,14.0300,14.1200,13.5100,13.8000,70594469
2017-07-14,13.4600,13.9300,13.3200,13.9200,81515312
2017-07-13,14.3300,14.4900,13.4300,13.5300,110860494
2017-07-12,14.1700,14.3900,13.9600,14.2900,78261702
2017-07-11,13.7700,14.1000,13.6200,13.8900,70760527
2017-07-10,13.6100,13.8800,13.2700,13.8100,77940920
2017-07-07,13.2700,13.7450,13.1800,13.3600,88021133
2017-07-06,12.9400,13.3200,12.6650,13.0200,88646490
2017-07-05,12.3600,13.2100,12.3200,13.1900,99450235
2017-07-03,12.5700,12.7300,12.1300,12.1500,39888247
2017-06-30,12.5700,12.8300,12.3600,12.4800,58976478
2017-06-29,13.0600,13.1500,12.4500,12.6000,86658774
2017-06-28,13.6500,13.7000,13.0900,13.2300,84591176
2017-06-27,13.7600,14.0400,13.3700,13.4000,88742270
2017-06-26,14.3900,14.4900,13.8400,14.0800,100078492
2017-06-23,14.1500,14.6700,13.9000,14.1700,151603584
2017-06-22,14.1000,14.5000,13.5600,14.3800,147959418
2017-06-21,13.3600,14.0100,13.1300,13.9800,187161633
2017-06-20,12.1900,12.9300,12.1800,12.6400,116319537
2017-06-19,11.6300,12.1200,11.6200,11.9300,61268773
2017-06-16,11.6600,11.8300,11.2800,11.4400,58774371
2017-06-15,11.3400,11.5800,11.2100,11.5000,60332254
2017-06-14,11.9100,12.0500,11.6500,11.7700,51454208
2017-06-13,12.3300,12.4800,11.6700,11.9600,86585397
2017-06-12,11.7500,12.3500,11.2700,12.0900,123725528
2017-06-09,13.1000,13.4000,11.6300,12.2800,165174160
2017-06-08,12.8100,12.9100,12.4000,12.9000,87201152
2017-06-07,12.4200,12.9600,12.2348,12.3800,149171943
